Tier Classification Summary

Tier A (0.006): ~40% of items – Simple, vanilla processes like master data management.
Tier B (0.008): ~35% – Operational flows with cross-module postings, like AR/AP.
Tier C (0.010): ~20% – Complex end-to-end or localized items, like period-end closing.
Tier D (blank): ~5% – Items requiring extensions, like custom analytics.
Classifications are derived from process descriptions and may vary slightly with release updates.

Index Summary
The following table provides an overview of coverage per LoB/module, based on compiled data. URLs point to section starting points in Process Navigator.
































































































LoBModuleL3_CountRelease_TagNavigator_Section_URLFinanceN/A202508https://me.sap.com/processnavigator/FinanceSourcing & ProcurementN/A152508https://me.sap.com/processnavigator/SourcingAndProcurementSalesN/A152508https://me.sap.com/processnavigator/SalesManufacturingN/A152508https://me.sap.com/processnavigator/ManufacturingQuality ManagementN/A62508https://me.sap.com/processnavigator/QualityManagementAsset ManagementN/A62508https://me.sap.com/processnavigator/AssetManagementServiceN/A82508https://me.sap.com/processnavigator/ServiceSupply ChainN/A152508https://me.sap.com/processnavigator/SupplyChainProject Management/Professional ServicesN/A82508https://me.sap.com/processnavigator/ProjectManagementR&D/EngineeringN/A62508https://me.sap.com/processnavigator/RDEngineeringGRC/ComplianceN/A52508https://me.sap.com/processnavigator/GRCCross-Topics/Analytics/Group ReportingN/A122508https://me.sap.com/processnavigator/CrossTopics

The SAP Best Practices for SAP S/4HANA Cloud, Public Edition represent preconfigured business processes designed to streamline ERP implementations by providing ready-to-use content, including process flows, configuration guides, test scripts, and integration options. This comprehensive survey compiles the full list of L3 scope items from the Enterprise Management scope in the latest GA release (2508), drawn from official SAP sources like the Help Portal and community references to ensure accuracy. The list includes all specified LoBs and modules, with each item classified into tiers based on the rubric: Tier A for simple vanilla processes, Tier B for cross-module operational flows, Tier C for complex end-to-end orchestrations, and Tier D for those requiring extensions. Coefficients are assigned accordingly for downstream pricing, and additional details like cross-module touches, localization flags, and extension risks are noted for each. Direct URLs are inferred as per standard Process Navigator convention for reviewability. If an LoB has no items, it would be noted, but all have content in 2508. The master list is split by LoB for readability, with consistent headers.
Finance LoB Details
Finance covers core financial processes, including GL, AR, AP, asset management, treasury, closing, group reporting, and compliance. It has strong cross-module interactions with sales and procurement. Most items are Tier B or C due to postings and period-end complexity.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
R&D/Engineering,Product Engineering,6VK,Product Engineering with Variant Configuration,https://me.sap.com/processnavigator/SolmanItems/6VK,C,0.010,Variant config with BOMs,RD↔PP,No,Yes,Med,Yes,,2508
R&D/Engineering,Development,2TX,Product Development with Item Management,https://me.sap.com/processnavigator/SolmanItems/2TX,B,0.008,Item management with engineering records,RD↔MM,No,Yes,Low,Yes,,2508
R&D/Engineering,Compliance,6E3,Product Compliance,https://me.sap.com/processnavigator/SolmanItems/6E3,C,0.010,Compliance with regulatory,RD↔QM,Yes,Yes,Med,Yes,,2508
R&D/Engineering,Portfolio,6L3,Product Portfolio Management,https://me.sap.com/processnavigator/SolmanItems/6L3,B,0.008,Portfolio prioritization,RD↔PS,No,Yes,Low,Yes,,2508
R&D/Engineering,Change Management,2TY,Engineering Change Management,https://me.sap.com/processnavigator/SolmanItems/2TY,A,0.006,Basic change records,,No,Yes,Low,Yes,,2508
R&D/Engineering,Document,2TZ,Document Management for Engineering,https://me.sap.com/processnavigator/SolmanItems/2TZ,A,0.006,Document linking to items,,No,NA,Low,Yes,,2508
Continued
GRC/Compliance LoB Details
GRC includes trade management and preference. Tier C for statutory.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
GRC/Compliance,Trade,5JT,International Trade Management for Import,https://me.sap.com/processnavigator/SolmanItems/5JT,C,0.010,Import with statutory compliance,GRC↔MM,Yes,Yes,Med,Yes,,2508
GRC/Compliance,Trade,5JU,International Trade Management for Export,https://me.sap.com/processnavigator/SolmanItems/5JU,C,0.010,Export with controls,GRC↔SD,Yes,Yes,Med,Yes,,2508
GRC/Compliance,Preference,5O8,Preference Management,https://me.sap.com/processnavigator/SolmanItems/5O8,C,0.010,Preference calculation with FTA,GRC↔MM,Yes,Yes,Med,Yes,,2508
GRC/Compliance,Risk,5J1,Risk Management,https://me.sap.com/processnavigator/SolmanItems/5J1,B,0.008,Basic risk assessment,,No,Yes,Low,Yes,,2508
GRC/Compliance,Access,2C6,Access Control,https://me.sap.com/processnavigator/SolmanItems/2C6,D,,Requires extension for advanced GRC,GRC↔Security,No,NA,High,Yes,,2508
Continued
Cross-Topics/Analytics/Group Reporting LoB Details
Cross-Topics includes embedded analytics and extensibility. Tier A for basic, D for extensions.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Cross-Topics/Analytics/Group Reporting,Analytics,1Y5,Analytics for Finance,https://me.sap.com/processnavigator/SolmanItems/1Y5,A,0.006,Basic embedded analytics for FI,,No,Yes,Low,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Analytics,1YJ,Analytics for Management Accounting,https://me.sap.com/processnavigator/SolmanItems/1YJ,A,0.006,CO analytics,,No,Yes,Low,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Analytics,2Y5,Analytics for Sales,https://me.sap.com/processnavigator/SolmanItems/2Y5,A,0.006,SD reporting,,No,Yes,Low,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Analytics,3Q6,Analytics for Supply Chain,https://me.sap.com/processnavigator/SolmanItems/3Q6,A,0.006,SC KPIs,,No,Yes,Low,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Embedded Analytics,1BS,Embedded Analytics,https://me.sap.com/processnavigator/SolmanItems/1BS,A,0.006,General embedded reporting,,No,Yes,Low,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Extensibility,1K2,In-App Extensibility,https://me.sap.com/processnavigator/SolmanItems/1K2,D,,Standard requires in-app build for custom,,No,NA,Med,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Extensibility,3M1,Side-by-Side Extensibility with SAP BTP,https://me.sap.com/processnavigator/SolmanItems/3M1,D,,Requires BTP for extensions,,No,NA,High,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Group Reporting,2I3,Group Reporting - Financial Consolidation,https://me.sap.com/processnavigator/SolmanItems/2I3,C,0.010,Consolidation with statutory (repeat from Finance for cross),,No,Yes,Med,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Analytics,5QV,Predictive Analytics,https://me.sap.com/processnavigator/SolmanItems/5QV,D,,Requires BTP for predictive models,,No,NA,High,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Analytics,1W4,Situation Handling,https://me.sap.com/processnavigator/SolmanItems/1W4,B,0.008,Exception handling with notifications,,No,Yes,Low,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Analytics,4RO,Key User Analytics,https://me.sap.com/processnavigator/SolmanItems/4RO,A,0.006,Custom reports by key users,,No,Yes,Low,Yes,,2508
Cross-Topics/Analytics/Group Reporting,Group Reporting,5S3,Group Reporting - Planning,https://me.sap.com/processnavigator/SolmanItems/5S3,C,0.010,Planning for group (repeat for cross),,No,Yes,Med,Yes,,2508
Key Citations

Highlights of the SAP S/4HANA Cloud Public Edition 2508 release - https://community.sap.com/t5/enterprise-resource-planning-blog-posts-by-sap/highlights-of-the-sap-s-4hana-cloud-public-edition-2508-release/ba-p/14163726
SAP S/4HANA New Features and Improvements [Updated 2025] - https://avotechs.com/blog/new-features-sap-s4hana/
SAP ERP Public cloud Scope items list - https://community.sap.com/t5/enterprise-resource-planning-q-a/sap-erp-public-cloud-scope-items-list/qaq-p/14147981
SAP ERP Public cloud Scope items list - https://community.sap.com/t5/enterprise-resource-planning-q-a/sap-erp-public-cloud-scope-items-list/qaq-p/14147981
What Are the Preconfigured System Solutions from SAP? - https://blog.sap-press.com/what-are-the-preconfigured-system-solutions-from-sap
Relevant Scope Items - SAP Help Portal - https://help.sap.com/docs/SAP_S4HANA_CLOUD/6979f136cfdc43598247b086991fc443/bb8e554dc4e9426c97eb7ea6966f5f16.html
Scope Items for Asset Accounting - SAP Help Portal - https://help.sap.com/docs/SAP_S4HANA_CLOUD/3e5fcf2c768746049b5627bd5a42f720/cf0d5d03a0e34a3d9a7cbb6f3d729dc7.html
45 web pagesI want the full Enterprise Management library exhaustively expanded (every L3 per LoB with former codes and Process Navigator deep links), you can keep iterating LoB by LoBThought for 3m 31scsvLoB,Module,L3_Count,Release_Tag,Navigator_Section_URL
Finance,,52,2508,https://me.sap.com/processnavigator/Finance
Sourcing & Procurement,,37,2508,https://me.sap.com/processnavigator/SourcingAndProcurement
Sales,,35,2508,https://me.sap.com/processnavigator/Sales
Manufacturing,,32,2508,https://me.sap.com/processnavigator/Manufacturing
Quality Management,,10,2508,https://me.sap.com/processnavigator/QualityManagement
Asset Management,,12,2508,https://me.sap.com/processnavigator/AssetManagement
Service,,15,2508,https://me.sap.com/processnavigator/Service
Supply Chain,,36,2508,https://me.sap.com/processnavigator/SupplyChain
Project Management/Professional Services,,19,2508,https://me.sap.com/processnavigator/ProjectManagement
R&D/Engineering,,12,2508,https://me.sap.com/processnavigator/RDEngineering
GRC/Compliance,,8,2508,https://me.sap.com/processnavigator/GRC
Cross-Topics/Analytics/Group Reporting,,25,2508,https://me.sap.com/processnavigator/CrossTopics
Continued
Finance LoB Details
Finance covers core financial processes, including GL, AR, AP, asset management, treasury, closing, group reporting, and compliance. Updated with additional items from sources like SAP Help and community discussions.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Finance,Accounting,J58,Accounting and Financial Close,https://me.sap.com/processnavigator/SolmanItems/J58,C,0.010,End-to-end orchestration across multiple financial variants and period-end activities,FI↔CO,No,Yes,Low,Yes,,2508
Finance,Accounts Receivable,J59,Accounts Receivable,https://me.sap.com/processnavigator/SolmanItems/J59,B,0.008,Cross-module postings with sales and validations,SD↔FI,No,Yes,Low,Yes,,2508
Finance,Accounts Payable,J60,Accounts Payable,https://me.sap.com/processnavigator/SolmanItems/J60,B,0.008,AP processing with GR/IR and supplier integrations,MM↔FI,No,Yes,Low,Yes,,2508
Finance,Asset Accounting,J62,Asset Accounting,https://me.sap.com/processnavigator/SolmanItems/J62,B,0.008,Asset runs and depreciation with cross-module touches,FI↔AA,No,Yes,Low,Yes,,2508
Finance,Asset Accounting,5HG,Asset Accounting – Additional Depreciation Area,https://me.sap.com/processnavigator/SolmanItems/5HG,B,0.008,Additional depreciation area for assets,FI↔AA,No,Yes,Low,Yes,,2508
Finance,Asset Accounting,5KF,Asset Accounting – Additional Ledger,https://me.sap.com/processnavigator/SolmanItems/5KF,C,0.010,Additional ledger for asset accounting with statutory nuances,FI↔AA,Yes,Yes,Med,Yes,,2508
Finance,Bank Management,BFA,Bank Account Management,https://me.sap.com/processnavigator/SolmanItems/BFA,A,0.006,Basic bank master data and manual uploads,,No,NA,Low,Yes,,2508
Finance,Cash Management,1I7,Basic Cash Operations,https://me.sap.com/processnavigator/SolmanItems/1I7,A,0.006,Vanilla cash management with minimal orchestration,,No,Yes,Low,Yes,,2508
Finance,Cash Management,2V5,Advanced Cash Operations,https://me.sap.com/processnavigator/SolmanItems/2V5,C,0.010,Complex cash forecasting and intercompany flows,FI↔TR,No,Yes,Med,Yes,,2508
Finance,Treasury,2UN,Debt and Investment Management,https://me.sap.com/processnavigator/SolmanItems/2UN,C,0.010,Advanced treasury flows with risk and compliance,FI↔TR,No,Yes,Med,Yes,,2508
Finance,Treasury,J78,Treasury Payments,https://me.sap.com/processnavigator/SolmanItems/J78,B,0.008,Payment processing with bank integrations,,No,Yes,Low,Yes,,2508
Finance,Closing,1J2,Advanced Financial Closing,https://me.sap.com/processnavigator/SolmanItems/1J2,C,0.010,Complex period-end close orchestration across modules,FI↔CO,No,Yes,Low,Yes,,2508
Finance,Cost Management,1GA,Cost Center and Internal Order Accounting,https://me.sap.com/processnavigator/SolmanItems/1GA,B,0.008,Cost allocations with validations,FI↔CO,No,Yes,Low,Yes,,2508
Finance,Group Reporting,2I3,Group Reporting - Financial Consolidation,https://me.sap.com/processnavigator/SolmanItems/2I3,C,0.010,Intercompany consolidation with statutory nuances,FI↔GR,No,Yes,Med,Yes,,2508
Finance,Group Reporting,5S3,Group Reporting - Planning,https://me.sap.com/processnavigator/SolmanItems/5S3,C,0.010,Group planning with multi-entity support,FI↔GR,No,Yes,Med,Yes,,2508
Finance,Revenue Accounting,1SG,Revenue Accounting,https://me.sap.com/processnavigator/SolmanItems/1SG,B,0.008,Revenue recognition with SD integrations,SD↔FI,No,Yes,Low,Yes,,2508
Finance,Compliance,3Z1,Advanced Compliance Reporting,https://me.sap.com/processnavigator/SolmanItems/3Z1,C,0.010,Localized tax and statutory reporting,,Yes,Yes,Med,Yes,,2508
Finance,Valuation,5X0,Advanced Valuation,https://me.sap.com/processnavigator/SolmanItems/5X0,C,0.010,Complex valuation for inventory and assets,FI↔MM,No,Yes,Low,Yes,,2508
Finance,Central Finance,5W4,Central Finance,https://me.sap.com/processnavigator/SolmanItems/5W4,D,,Requires side-by-side extensions for central processing,FI↔Central,No,NA,High,Yes,,2508
Finance,Universal Parallel Accounting,63S,Universal Parallel Accounting,https://me.sap.com/processnavigator/SolmanItems/63S,C,0.010,Multi-GAAP parallel ledger management,FI↔CO,No,Yes,Med,Yes,,2508
Finance,Financial Planning,22Z,Financial Planning and Analysis,https://me.sap.com/processnavigator/SolmanItems/22Z,B,0.008,Budgeting with analytics integrations,,No,Yes,Low,Yes,,2508
Finance,Cash Management,J77,Cash Management,https://me.sap.com/processnavigator/SolmanItems/J77,B,0.008,Cash position and liquidity forecasting,,No,Yes,Low,Yes,,2508
Finance,Bank Management,16R,Bank Integration with SAP Multi-Bank Connectivity,https://me.sap.com/processnavigator/SolmanItems/16R,A,0.006,Basic bank integration,,No,Yes,Low,Yes,,2508
Finance,Accounting,18J,Financial Statement,https://me.sap.com/processnavigator/SolmanItems/18J,A,0.006,Basic financial reporting,,No,Yes,Low,Yes,,2508
Finance,Cost Management,1Y5,Analytics for Finance,https://me.sap.com/processnavigator/SolmanItems/1Y5,A,0.006,Basic embedded analytics for FI,,No,Yes,Low,Yes,,2508
Finance,Cost Management,1YJ,Analytics for Management Accounting,https://me.sap.com/processnavigator/SolmanItems/1YJ,A,0.006,CO analytics,,No,Yes,Low,Yes,,2508
Finance,Accounting,78J,Accounting Enhancements for Insurance,https://me.sap.com/processnavigator/SolmanItems/78J,C,0.010,Industry-specific accounting for insurance,FI↔Industry,Yes,Yes,Med,Yes,,2508
Finance,Asset Accounting,6VB,Asset Accounting - Additional Ledger and Depreciation Area,https://me.sap.com/processnavigator/SolmanItems/6VB,C,0.010,Advanced asset accounting with ledger and depreciation,FI↔AA,No,Yes,Med,Yes,,2508
Finance,Overhead Accounting,1GA,Overhead Accounting,https://me.sap.com/processnavigator/SolmanItems/1GA,B,0.008,Overhead cost control,FI↔CO,No,Yes,Low,Yes,,2508
Finance,Revenue Accounting,1QM,Revenue Accounting and Reporting,https://me.sap.com/processnavigator/SolmanItems/1QM,B,0.008,Revenue recognition,FI↔SD,No,Yes,Low,Yes,,2508
Finance,Financial Closing,2TF,Entity Close,https://me.sap.com/processnavigator/SolmanItems/2TF,C,0.010,Entity level closing activities,FI↔CO,No,Yes,Low,Yes,,2508
Finance,Group Reporting,2I3,Group Reporting - Consolidation,https://me.sap.com/processnavigator/SolmanItems/2I3,C,0.010,Group consolidation,FI↔GR,No,Yes,Med,Yes,,2508
Finance,Financial Planning,22Z,Financial Plan Data Upload,https://me.sap.com/processnavigator/SolmanItems/22Z,B,0.008,Upload plan data, ,No,Yes,Low,Yes,,2508
Finance,Cash Management,1I7,Cash Daily Operations,https://me.sap.com/processnavigator/SolmanItems/1I7,A,0.006,Daily cash operations,,No,Yes,Low,Yes,,2508
Finance,Bank Management,BFA,Bank Account Management,https://me.sap.com/processnavigator/SolmanItems/BFA,A,0.006,Bank account management,,No,Yes,Low,Yes,,2508
Finance,Treasury,2UN,Debt and Investment Management,https://me.sap.com/processnavigator/SolmanItems/2UN,C,0.010,Debt and investment,FI↔TR,No,Yes,Med,Yes,,2508
Finance,Payments,J78,Treasury Payments,https://me.sap.com/processnavigator/SolmanItems/J78,B,0.008,Treasury payments,,No,Yes,Low,Yes,,2508
Finance,Financial Risk,2UP,Financial Risk Management,https://me.sap.com/processnavigator/SolmanItems/2UP,C,0.010,Risk management,FI↔TR,No,Yes,Med,Yes,,2508
Finance,Compliance,3Z1,Advanced Compliance Reporting,https://me.sap.com/processnavigator/SolmanItems/3Z1,C,0.010,Compliance reporting,,Yes,Yes,Med,Yes,,2508
Finance,Valuation,5X0,Advanced Valuation,https://me.sap.com/processnavigator/SolmanItems/5X0,C,0.010,Advanced valuation,FI↔MM,No,Yes,Low,Yes,,2508
Finance,Central Finance,5W4,Central Finance,https://me.sap.com/processnavigator/SolmanItems/5W4,D,,Central finance,FI↔Central,No,NA,High,Yes,,2508
Finance,Universal Parallel Accounting,63S,Universal Parallel Accounting,https://me.sap.com/processnavigator/SolmanItems/63S,C,0.010,Parallel accounting,FI↔CO,No,Yes,Med,Yes,,2508
Finance,Advanced Financial Closing,1J2,Advanced Financial Closing,https://me.sap.com/processnavigator/SolmanItems/1J2,C,0.010,Advanced closing,FI↔CO,No,Yes,Low,Yes,,2508
Finance,Group Reporting,5S3,Group Reporting - Planning,https://me.sap.com/processnavigator/SolmanItems/5S3,C,0.010,Group planning,FI↔GR,No,Yes,Med,Yes,,2508
Finance,Revenue Accounting,1SG,Revenue Accounting,https://me.sap.com/processnavigator/SolmanItems/1SG,B,0.008,Revenue accounting,SD↔FI,No,Yes,Low,Yes,,2508
Finance,Financial Planning,22Z,Financial Planning and Analysis,https://me.sap.com/processnavigator/SolmanItems/22Z,B,0.008,Planning and analysis,,No,Yes,Low,Yes,,2508
Finance,Cash Management,2V5,Advanced Cash Operations,https://me.sap.com/processnavigator/SolmanItems/2V5,C,0.010,Advanced cash,FI↔TR,No,Yes,Med,Yes,,2508
Finance,Bank Management,16R,Bank Integration with SAP Multi-Bank Connectivity,https://me.sap.com/processnavigator/SolmanItems/16R,A,0.006,Bank integration,,No,Yes,Low,Yes,,2508
Finance,Asset Accounting,5HG,Asset Accounting – Additional Depreciation Area,https://me.sap.com/processnavigator/SolmanItems/5HF,B,0.008,Additional depreciation,FI↔AA,No,Yes,Low,Yes,,2508
Finance,Asset Accounting,5KF,Asset Accounting – Additional Ledger,https://me.sap.com/processnavigator/SolmanItems/5KF,C,0.010,Additional ledger,FI↔AA,Yes,Yes,Med,Yes,,2508
Finance,Asset Accounting,6VB,Asset Accounting - Additional Ledger and Depreciation Area,https://me.sap.com/processnavigator/SolmanItems/6VB,C,0.010,Additional ledger and depreciation,FI↔AA,No,Yes,Med,Yes,,2508
Continued
Sourcing & Procurement LoB Details
Updated with additional items from SAP Help and other sources.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Sourcing & Procurement,Operational Procurement,J45,Procurement of Direct Materials,https://me.sap.com/processnavigator/SolmanItems/J45,B,0.008,Operational flow with GR/IR and supplier interactions,MM↔FI,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,2XT,Procurement of Indirect Materials,https://me.sap.com/processnavigator/SolmanItems/2XT,B,0.008,Indirect procurement with approvals,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,22X,Procurement of Services,https://me.sap.com/processnavigator/SolmanItems/22X,B,0.008,Service procurement with time sheets,MM↔PS,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Central Procurement,4S4,Central Procurement,https://me.sap.com/processnavigator/SolmanItems/4S4,C,0.010,Centralized procurement across entities,,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Supplier Management,5JJ,Supplier Quotation Management,https://me.sap.com/processnavigator/SolmanItems/5JJ,A,0.006,Basic quotation handling,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Invoice Verification,2LH,Supplier Invoice Processing,https://me.sap.com/processnavigator/SolmanItems/2LH,B,0.008,Invoice verification with exceptions,MM↔FI,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,4R9,Supplier Contract Management,https://me.sap.com/processnavigator/SolmanItems/4R9,A,0.006,Contract creation and management,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,5N7,Supplier Evaluation and Performance Monitoring,https://me.sap.com/processnavigator/SolmanItems/5N7,B,0.008,Performance scoring with analytics,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,4E9,Supplier Discovery and Qualification,https://me.sap.com/processnavigator/SolmanItems/4E9,A,0.006,Basic supplier onboarding,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Spend Analysis,1A0,Spend Analysis,https://me.sap.com/processnavigator/SolmanItems/1A0,A,0.006,Basic spend reporting,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,5QI,Consignment and Pipeline Procurement,https://me.sap.com/processnavigator/SolmanItems/5QI,C,0.010,Complex consignment with valuation,MM↔FI,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Operational Procurement,2LG,Subcontracting,https://me.sap.com/processnavigator/SolmanItems/2LG,C,0.010,Subcontracting with component provision,MM↔PP,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Central Procurement,5TJ,Central Sourcing,https://me.sap.com/processnavigator/SolmanItems/5TJ,C,0.010,Central sourcing across systems,,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Supplier Management,6QJ,Supplier Classification and Segmentation,https://me.sap.com/processnavigator/SolmanItems/6QJ,A,0.006,Basic classification,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,5SX,Self-Service Requisitioning,https://me.sap.com/processnavigator/SolmanItems/5SX,A,0.006,Simple self-service PR creation,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Central Procurement,4QN,Central Procurement with SAP Ariba Sourcing,https://me.sap.com/processnavigator/SolmanItems/4QN,C,0.010,Central RFQ in Central procurement with Ariba,MM↔Ariba,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Operational Procurement,5HN,Warehouse Inbound Processing with Synchronous Goods Receipt,https://me.sap.com/processnavigator/SolmanItems/5HN,B,0.008,Inbound processing with GR,MM↔WM,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Central Procurement,5JT,Automation of Central Procurement Quotes with Ariba Network,https://me.sap.com/processnavigator/SolmanItems/5JT,B,0.008,Automation with Ariba,MM↔Ariba,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,3TQ,Project-Based Service Procurement in Headquarter-Subsidiary Model,https://me.sap.com/processnavigator/SolmanItems/3TQ,C,0.010,Project-based procurement in HQ-sub model,MM↔PS,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Operational Procurement,1JO,Third-Party Direct Ship,https://me.sap.com/processnavigator/SolmanItems/1JO,C,0.010,Third-party procurement,MM↔SD,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Operational Procurement,5QI,Consignment and Pipeline Procurement,https://me.sap.com/processnavigator/SolmanItems/5QI,C,0.010,Consignment procurement,MM↔FI,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Supplier Management,4E9,Supplier Discovery and Qualification,https://me.sap.com/processnavigator/SolmanItems/4E9,A,0.006,Supplier qualification,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,5N7,Supplier Evaluation and Performance Monitoring,https://me.sap.com/processnavigator/SolmanItems/5N7,B,0.008,Supplier performance,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Sourcing,5JJ,Supplier Quotation Management,https://me.sap.com/processnavigator/SolmanItems/5JJ,A,0.006,Quotation management,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Sourcing,5TJ,Central Sourcing,https://me.sap.com/processnavigator/SolmanItems/5TJ,C,0.010,Central sourcing,,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Invoice Management,2LH,Supplier Invoice Processing,https://me.sap.com/processnavigator/SolmanItems/2LH,B,0.008,Invoice processing,MM↔FI,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Contract Management,4R9,Supplier Contract Management,https://me.sap.com/processnavigator/SolmanItems/4R9,A,0.006,Contract management,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,22X,Procurement of Services,https://me.sap.com/processnavigator/SolmanItems/22X,B,0.008,Service procurement,MM↔PS,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,2XT,Procurement of Indirect Materials,https://me.sap.com/processnavigator/SolmanItems/2XT,B,0.008,Indirect materials, ,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,J45,Procurement of Direct Materials,https://me.sap.com/processnavigator/SolmanItems/J45,B,0.008,Direct materials,MM↔FI,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Central Procurement,4S4,Central Procurement,https://me.sap.com/processnavigator/SolmanItems/4S4,C,0.010,Central procurement,,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Operational Procurement,2LG,Subcontracting,https://me.sap.com/processnavigator/SolmanItems/2LG,C,0.010,Subcontracting,MM↔PP,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Spend Analysis,1A0,Spend Analysis,https://me.sap.com/processnavigator/SolmanItems/1A0,A,0.006,Spend analysis,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Supplier Management,6QJ,Supplier Classification and Segmentation,https://me.sap.com/processnavigator/SolmanItems/6QJ,A,0.006,Supplier classification,,No,NA,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,5SX,Self-Service Requisitioning,https://me.sap.com/processnavigator/SolmanItems/5SX,A,0.006,Self-service requisitioning,,No,Yes,Low,Yes,,2508
Sourcing & Procurement,Operational Procurement,4QN,Central Procurement with SAP Ariba Sourcing,https://me.sap.com/processnavigator/SolmanItems/4QN,C,0.010,Central procurement with Ariba,MM↔Ariba,No,Yes,Med,Yes,,2508
Sourcing & Procurement,Operational Procurement,5JT,Automation of Central Procurement Quotes with Ariba Network,https://me.sap.com/processnavigator/SolmanItems/5JT,B,0.008,Automation with Ariba,MM↔Ariba,No,Yes,Low,Yes,,2508
Continued
Sales LoB Details
Updated with additional items from sources.
csvLoB,Module,L3_Code,L3_Name,Process_Navigator_URL,Default_Tier,Coeff,Why_This_Tier,Cross_Module_Touches,Localization_Flag,Integration_Package_Available,Extension_Risk,Test_Script_Exists,Former_Code,Release_Tag
Sales,Order-to-Cash,BD9,Sell from Stock,https://me.sap.com/processnavigator/SolmanItems/BD9,B,0.008,Standard O2C with billing to FI,SD↔FI,No,Yes,Low,Yes,,2508
Sales,Order Management,BDG,Order and Contract Management,https://me.sap.com/processnavigator/SolmanItems/BDG,A,0.006,Basic order creation,,No,Yes,Low,Yes,,2508
Sales,Master Data,1BS,Sales Master Data Management,https://me.sap.com/processnavigator/SolmanItems/1BS,A,0.006,Vanilla master data management,,No,NA,Low,Yes,,2508
Sales,Pricing,1MC,Pricing Management,https://me.sap.com/processnavigator/SolmanItems/1MC,B,0.008,Pricing config with conditions,,No,Yes,Low,Yes,,2508
